Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Metafield: custom.aliexpress_url [single_line_text_field],Metafield: custom.cost_price [number_decimal],Status
the-heirloom-pearl-diamond-gala-collar,The Heirloom Pearl & Diamond Gala Collar,"This jewelry piece is a radiant addition to any high-end collection, encrusted with shimmering details that reflect the golden standard of Pawché. A rare acquisition from The Vault.

**Size & Fit:** Designed for a tailored silhouette. Please refer to our size guide to ensure the perfect fit for your companion's unique proportions.",Pawché,,The Vault,"Pawché Luxury, Wardrobe, Wearable, Couture, New Arrivals",TRUE,Size,One Size,,,,,3256809077974270,0,shopify,100,continue,manual,19.99,,TRUE,TRUE,,https://tmpfiles.org/dl/wawCgmBxFMhV/the-heirloom-pearl-diamond-gala-collar.png,1,The Heirloom Pearl & Diamond Gala Collar - Pawché Luxury Pet Collection,FALSE,The Heirloom Pearl & Diamond Gala Collar | Pawché Luxury Dog Lifestyle,"This jewelry piece is a radiant addition to any high-end collection, encrusted with shimmering details that reflect the golden standard of Pawché. A rare a...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256809077974270.html,2.7,active
the-bespoke-signature-gilded-id-collar,The Bespoke Signature Gilded ID Collar,"Where high-fashion aesthetics meet superior comfort, this designer set features a signature Pawché pattern and gold-toned hardware. It ensures your pet is always the best-dressed.

**Size & Fit:** Designed for a tailored silhouette. Please refer to our size guide to ensure the perfect fit for your companion's unique proportions.",Pawché,,The Accessory Bar,"Pawché Luxury, Wardrobe, Wearable, Couture, New Arrivals",TRUE,Size,One Size,,,,,3256801719586781,0,shopify,100,continue,manual,15.75,,TRUE,TRUE,,https://tmpfiles.org/dl/wnwVguBpFNGT/the-bespoke-signature-gilded-id-collar.png,1,The Bespoke Signature Gilded ID Collar - Pawché Luxury Pet Collection,FALSE,The Bespoke Signature Gilded ID Collar | Pawché Luxury Dog Lifestyle,"Where high-fashion aesthetics meet superior comfort, this designer set features a signature Pawché pattern and gold-toned hardware. It ensures your pet is...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256801719586781.html,5.25,active
the-jardin-royale-floral-fleece-gilet,The Jardin Royale Floral Fleece Gilet,"Inspired by iconic designs, this canine outerwear offers a classic look for the season. Meticulously detailed to reflect a life lived beautifully, it ensures your pet remains the focal point of every promenade.

**Size & Fit:** Designed for a tailored silhouette. Please refer to our size guide to ensure the perfect fit for your companion's unique proportions.",Pawché,,The Wardrobe,"Pawché Luxury, Wardrobe, Wearable, Couture, New Arrivals",TRUE,Size,One Size,,,,,3256810149072087,0,shopify,100,continue,manual,19.99,,TRUE,TRUE,,https://tmpfiles.org/dl/w8wVgyB1OIeX/the-jardin-royale-floral-fleece-gilet.png,1,The Jardin Royale Floral Fleece Gilet - Pawché Luxury Pet Collection,FALSE,The Jardin Royale Floral Fleece Gilet | Pawché Luxury Dog Lifestyle,"Inspired by iconic designs, this canine outerwear offers a classic look for the season. Meticulously detailed to reflect a life lived beautifully, it ensur...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256810149072087.html,0.99,active
the-artisan-custom-engraved-obsidian-collar,The Artisan Custom-Engraved Obsidian Collar,"Define your pet's presence with this bespoke piece, where radiant gold-toned hardware meets a meticulously tailored silhouette. A signature piece that captures the essence of modern luxury.

**Size & Fit:** Designed for a tailored silhouette. Please refer to our size guide to ensure the perfect fit for your companion's unique proportions.",Pawché,,The Accessory Bar,"Pawché Luxury, Wardrobe, Wearable, Couture",TRUE,Size,One Size,,,,,3256802921675172,0,shopify,100,continue,manual,29.28,,TRUE,TRUE,,https://tmpfiles.org/dl/wUwZgFBnFBpL/the-artisan-custom-engraved-obsidian-collar.png,1,The Artisan Custom-Engraved Obsidian Collar - Pawché Luxury Pet Collection,FALSE,The Artisan Custom-Engraved Obsidian Collar | Pawché Luxury Dog Lifestyle,"Define your pet's presence with this bespoke piece, where radiant gold-toned hardware meets a meticulously tailored silhouette. A signature piece that capt...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256802921675172.html,9.76,active
the-avant-garde-punk-studded-harness,The Avant-Garde Punk Studded Harness,"This hand-stitched set is an investment in elegance, featuring traditional techniques and contemporary design. Each piece is a unique addition reflecting a life lived with style.

**Size & Fit:** Designed for a tailored silhouette. Please refer to our size guide to ensure the perfect fit for your companion's unique proportions.",Pawché,,The Accessory Bar,"Pawché Luxury, Wardrobe, Wearable, Couture",TRUE,Size,One Size,,,,,3256810473279519,0,shopify,100,continue,manual,19.99,,TRUE,TRUE,,https://tmpfiles.org/dl/w8w2gRBxFysH/the-avant-garde-punk-studded-harness.png,1,The Avant-Garde Punk Studded Harness - Pawché Luxury Pet Collection,FALSE,The Avant-Garde Punk Studded Harness | Pawché Luxury Dog Lifestyle,"This hand-stitched set is an investment in elegance, featuring traditional techniques and contemporary design. Each piece is a unique addition reflecting a...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256810473279519.html,3.81,active
the-bordeaux-velvet-gala-collar-leash,The Bordeaux Velvet Gala Collar & Leash,"This diamond-style piece is a rare and singular addition to The Vault, designed to reflect the inner radiance of your most loyal companion. A bold statement of opulence that transcends the ordinary.

**Size & Fit:** Designed for a tailored silhouette. Please refer to our size guide to ensure the perfect fit for your companion's unique proportions.",Pawché,,The Vault,"Pawché Luxury, Wardrobe, Wearable, Couture",TRUE,Size,One Size,,,,,3256804772097134,0,shopify,100,continue,manual,125.49,,TRUE,TRUE,,https://tmpfiles.org/dl/wVwmgMBNFwkL/the-bordeaux-velvet-gala-collar-leash.png,1,The Bordeaux Velvet Gala Collar & Leash - Pawché Luxury Pet Collection,FALSE,The Bordeaux Velvet Gala Collar & Leash | Pawché Luxury Dog Lifestyle,"This diamond-style piece is a rare and singular addition to The Vault, designed to reflect the inner radiance of your most loyal companion. A bold statemen...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256804772097134.html,41.83,active
the-alpine-cashmere-touch-winter-knit,The Alpine Cashmere-Touch Winter Knit,"A masterclass in material selection, this piece combines rugged durability with the editorial flair of Pawché. It offers a sophisticated profile for the pet who appreciates the finer things.

**Size & Fit:** Designed for a tailored silhouette. Please refer to our size guide to ensure the perfect fit for your companion's unique proportions.",Pawché,,The Wardrobe,"Pawché Luxury, Wardrobe, Wearable, Couture",TRUE,Size,One Size,,,,,3256804645383396,0,shopify,100,continue,manual,19.99,,TRUE,TRUE,,https://tmpfiles.org/dl/w1wHg9BbF7B1/the-alpine-cashmere-touch-winter-knit.png,1,The Alpine Cashmere-Touch Winter Knit - Pawché Luxury Pet Collection,FALSE,The Alpine Cashmere-Touch Winter Knit | Pawché Luxury Dog Lifestyle,"A masterclass in material selection, this piece combines rugged durability with the editorial flair of Pawché. It offers a sophisticated profile for the pe...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256804645383396.html,2.66,active
the-silk-road-equestrian-print-scarf,The Silk Road Equestrian Print Scarf,"Redefine the afternoon stroll with this couture layer, where functionality meets the height of editorial flair. Its sleek silhouette and premium finish make it an essential acquisition for the discerning pet.

**Size & Fit:** Designed for a tailored silhouette. Please refer to our size guide to ensure the perfect fit for your companion's unique proportions.",Pawché,,The Wardrobe,"Pawché Luxury, Wardrobe, Wearable, Couture",TRUE,Size,One Size,,,,,3256810363490313,0,shopify,100,continue,manual,67.80,,TRUE,TRUE,,https://tmpfiles.org/dl/wWwXgNBaONwq/the-silk-road-equestrian-print-scarf.png,1,The Silk Road Equestrian Print Scarf - Pawché Luxury Pet Collection,FALSE,The Silk Road Equestrian Print Scarf | Pawché Luxury Dog Lifestyle,"Redefine the afternoon stroll with this couture layer, where functionality meets the height of editorial flair. Its sleek silhouette and premium finish mak...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256810363490313.html,22.6,active
the-monogram-elite-designer-dog-hoodie,The Monogram Elite Designer Dog Hoodie,"Capture the essence of city life with this fusion piece, designed to blend seamlessly into a sophisticated urban environment. Its modern aesthetic provides a celebratory experience for the active yet refined pet.

**Size & Fit:** Designed for a tailored silhouette. Please refer to our size guide to ensure the perfect fit for your companion's unique proportions.",Pawché,,The Wardrobe,"Pawché Luxury, Wardrobe, Wearable, Couture, New Arrivals",TRUE,Size,One Size,,,,,3256801538302645,0,shopify,100,continue,manual,74.99,,TRUE,TRUE,,https://tmpfiles.org/dl/wcwJgyBBFPNw/the-monogram-elite-designer-dog-hoodie.png,1,The Monogram Elite Designer Dog Hoodie - Pawché Luxury Pet Collection,FALSE,The Monogram Elite Designer Dog Hoodie | Pawché Luxury Dog Lifestyle,"Capture the essence of city life with this fusion piece, designed to blend seamlessly into a sophisticated urban environment. Its modern aesthetic provides...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256801538302645.html,24.77,active
the-palais-royale-velvet-bow-tie,The Palais Royale Velvet Bow Tie,"This streetwear-inspired set is a testament to the art of the canine lifestyle, combining vibrant textures with a tailored fit. Perfectly suited for the dog who leads with style and demands comfort.

**Size & Fit:** Designed for a tailored silhouette. Please refer to our size guide to ensure the perfect fit for your companion's unique proportions.",Pawché,,The Wardrobe,"Pawché Luxury, Wardrobe, Wearable, Couture",TRUE,Size,One Size,,,,,3256805780733156,0,shopify,100,continue,manual,39.99,,TRUE,TRUE,,https://tmpfiles.org/dl/wUwwg3BfO4AA/the-palais-royale-velvet-bow-tie.png,1,The Palais Royale Velvet Bow Tie - Pawché Luxury Pet Collection,FALSE,The Palais Royale Velvet Bow Tie | Pawché Luxury Dog Lifestyle,"This streetwear-inspired set is a testament to the art of the canine lifestyle, combining vibrant textures with a tailored fit. Perfectly suited for the do...",Animals & Pet Supplies > Pet Supplies > Dog Supplies,https://www.aliexpress.us/item/3256805780733156.html,12.54,active
